Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion
Djibouti,Sub-Saharan Africa,1 meter,5,1487,0.336247478,2401,0.237889295
Equatorial Guinea,Sub-Saharan Africa,1 meter,0,960,0,2401,0.237889295
Ethiopia,Sub-Saharan Africa,1 meter,173,49241,0.351333239,2401,0.237889295
Gambia,Sub-Saharan Africa,1 meter,19,2567,0.740163615,2401,0.237889295
Gabon,Sub-Saharan Africa,1 meter,9,7385,0.121868653,2401,0.237889295
Ghana,Sub-Saharan Africa,1 meter,356,42213,0.843342098,2401,0.237889295
Guinea,Sub-Saharan Africa,1 meter,46,14174,0.324537886,2401,0.237889295
Ivory Coast,Sub-Saharan Africa,1 meter,267,24159,1.105178194,2401,0.237889295
Kenya,Sub-Saharan Africa,1 meter,40,29623,0.135030213,2401,0.237889295
Liberia,Sub-Saharan Africa,1 meter,36,3350,1.074626866,2401,0.237889295
Madagascar,Sub-Saharan Africa,1 meter,29,12577,0.230579629,2401,0.237889295
Mauritania,Sub-Saharan Africa,1 meter,465,4972,9.35237329,2401,0.237889295
Mozambique,Sub-Saharan Africa,1 meter,47,17660,0.266138165,2401,0.237889295
Nigeria,Sub-Saharan Africa,1 meter,250,109412,0.228494132,2401,0.237889295
Guinea-Bissau,Sub-Saharan Africa,1 meter,5,1150,0.434782609,2401,0.237889295
South Africa,Sub-Saharan Africa,1 meter,35,470466,0.007439432,2401,0.237889295
Senegal,Sub-Saharan Africa,1 meter,158,13848,1.140958983,2401,0.237889295
Sierra Leone,Sub-Saharan Africa,1 meter,4,2285,0.175054705,2401,0.237889295
Somalia,Sub-Saharan Africa,1 meter,4,4300,0.093023256,2401,0.237889295
Sudan,Sub-Saharan Africa,1 meter,15,62128,0.024143703,2401,0.237889295
Togo,Sub-Saharan Africa,1 meter,11,7493,0.146803683,2401,0.237889295
Sao Tome and Principe,Sub-Saharan Africa,1 meter,0,178,0,2401,0.237889295
Tanzania,Sub-Saharan Africa,1 meter,11,17035,0.064572938,2401,0.237889295
Namibia,Sub-Saharan Africa,1 meter,4,12417,0.0322139,2401,0.237889295
Angola,Sub-Saharan Africa,2 meter,115,27653,0.415868079,4549,0.450711538
Benin,Sub-Saharan Africa,2 meter,550,5962,9.225092251,4549,0.450711538
"Congo, Rep.",Sub-Saharan Africa,2 meter,3,2881,0.10413051,4549,0.450711538
"Congo, Dem. Rep.",Sub-Saharan Africa,2 meter,17,37331,0.04553856,4549,0.450711538
Cameroon,Sub-Saharan Africa,2 meter,19,24386,0.077913557,4549,0.450711538
Djibouti,Sub-Saharan Africa,2 meter,5,1487,0.336247478,4549,0.450711538
Equatorial Guinea,Sub-Saharan Africa,2 meter,1,960,0.104166667,4549,0.450711538
Ethiopia,Sub-Saharan Africa,2 meter,181,49241,0.367579862,4549,0.450711538
Gambia,Sub-Saharan Africa,2 meter,56,2567,2.181534866,4549,0.450711538
Gabon,Sub-Saharan Africa,2 meter,12,7385,0.162491537,4549,0.450711538
Ghana,Sub-Saharan Africa,2 meter,458,42213,1.084973823,4549,0.450711538
Guinea,Sub-Saharan Africa,2 meter,364,14174,2.568082404,4549,0.450711538
Ivory Coast,Sub-Saharan Africa,2 meter,280,24159,1.158988369,4549,0.450711538
Kenya,Sub-Saharan Africa,2 meter,44,29623,0.148533234,4549,0.450711538
Liberia,Sub-Saharan Africa,2 meter,36,3350,1.074626866,4549,0.450711538
Madagascar,Sub-Saharan Africa,2 meter,58,12577,0.461159259,4549,0.450711538
Mauritania,Sub-Saharan Africa,2 meter,718,4972,14.44086887,4549,0.450711538
Mozambique,Sub-Saharan Africa,2 meter,84,17660,0.475651189,4549,0.450711538
Nigeria,Sub-Saharan Africa,2 meter,510,109412,0.46612803,4549,0.450711538
Guinea-Bissau,Sub-Saharan Africa,2 meter,11,1150,0.956521739,4549,0.450711538
South Africa,Sub-Saharan Africa,2 meter,35,470466,0.007439432,4549,0.450711538
Senegal,Sub-Saharan Africa,2 meter,916,13848,6.614673599,4549,0.450711538
Sierra Leone,Sub-Saharan Africa,2 meter,11,2285,0.481400438,4549,0.450711538
Somalia,Sub-Saharan Africa,2 meter,7,4300,0.162790698,4549,0.450711538
Sudan,Sub-Saharan Africa,2 meter,20,62128,0.032191604,4549,0.450711538
Togo,Sub-Saharan Africa,2 meter,17,7493,0.22687842,4549,0.450711538
