Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion
Malaysia,East Asia,5 meter,11958,211738,5.647545552,773176,10.20397228
Papua New Guinea,East Asia,5 meter,49,13927,0.351834566,773176,10.20397228
Philippines,East Asia,5 meter,12155,290338,4.186499873,773176,10.20397228
Thailand,East Asia,5 meter,85669,378476,22.63525296,773176,10.20397228
Taiwan China,East Asia,5 meter,27524,386000,7.130569948,773176,10.20397228
Vietnam,East Asia,5 meter,56035,154787,36.20136058,773176,10.20397228
Bangladesh,South Asia,1 meter,1896,202087,0.938209781,18653,0.566002755
Sri Lanka,South Asia,1 meter,284,62726,0.45276281,18653,0.566002755
India,South Asia,1 meter,16223,2772730,0.585091228,18653,0.566002755
Pakistan,South Asia,1 meter,250,258024,0.096890212,18653,0.566002755
Bangladesh,South Asia,2 meter,3387,202087,1.676010827,31761,0.963749182
Sri Lanka,South Asia,2 meter,503,62726,0.801900328,31761,0.963749182
India,South Asia,2 meter,27414,2772730,0.988700667,31761,0.963749182
Pakistan,South Asia,2 meter,457,258024,0.177115307,31761,0.963749182
Bangladesh,South Asia,3 meter,7768,202087,3.843889018,53073,1.61043608
Sri Lanka,South Asia,3 meter,987,62726,1.573510187,53073,1.61043608
India,South Asia,3 meter,43473,2772730,1.567877146,53073,1.61043608
Pakistan,South Asia,3 meter,845,258024,0.327488916,53073,1.61043608
Bangladesh,South Asia,4 meter,14458,202087,7.154344416,74865,2.271687998
Sri Lanka,South Asia,4 meter,1728,62726,2.754838504,74865,2.271687998
India,South Asia,4 meter,57483,2772730,2.073155338,74865,2.271687998
Pakistan,South Asia,4 meter,1196,258024,0.463522773,74865,2.271687998
Bangladesh,South Asia,5 meter,22790,202087,11.27732115,98920,3.001607918
Sri Lanka,South Asia,5 meter,2343,62726,3.73529318,98920,3.001607918
India,South Asia,5 meter,72263,2772730,2.606203994,98920,3.001607918
Pakistan,South Asia,5 meter,1524,258024,0.590642731,98920,3.001607918
